rate,Comment
5,"This cheesecake turned out great!  The changes I made was to add one cup of eggnog & an extra tablespoon of rum.  I also added 1/4 tsp. cinnamon and nutmeg to the crust.  I wrapped the bottom of the springform pan with foil and baked it in a water-filled cookie pan.  I baked it for the time specified and it came out perfect with no cracks.  I followed what someone else said and I beat 1 cup whipping cream with 3 T powdered sugar and then I added 1 tsp. rum extract & 1 tsp. cinnamon.  It really added to the eggnog flavor.  Also, I microwaved the cream cheese and eggnog just until it was at room temp. and I mixed everything with my kitchenaid stand mixer and this worked very well.  I&apos;ll definitely be making this every year for the holidays!"
5,"This cheesecake is FANTASTIC. I used helpful suggestions from the other reviewers to make modifications, and here&apos;s my advice:
                                1. I scaled the recipe down to 11 servings so it used 2 pkgs of cream cheese. I used one pkg of full-fat cream cheese and one pkg of light, and it still tasted wonderfully rich. 
                                3. I added about 3/4 to 1 tsp of cinnamon and 1/2 tsp of nutmeg to the batter, subbed 3/4 tbsp of vanilla extract for the rum (I didn&apos;t have any rum on hand), and used 1 cup eggnog. 
                                4. MAKE THIS CHEESECAKE THE DAY BEFORE YOU NEED IT (I can&apos;t stress that enough; this recipe improves with time, and the flavor is much better the second day). 
                                5. If you&apos;re using a store-bought graham cracker crust, there will be more batter than you need to fill the crust, so look up a ""crustless cheesecake"" recipe and use those directions for baking the excess batter. 
                                6. Use a water bath (I just filled a cake pan with water and put it on the bottom rack of the oven, below the middle rack where the cheesecake was).
                                7. When it&apos;s finished cooking, turn off the heat, open the oven door a bit, and let it cool in there for a couple hours before refrigerating.
                                
                                This recipe is fantastic - it&apos;s definitely going to be an Xmas staple from now on!"
5,"Excellent cheesecake! A great way to use leftover eggnog. I didn&apos;t have any rum, so I used vanilla extract instead - it still tasted as if alcohol had been added to it (DELICIOUS!). Since I didn&apos;t have a food processor big enough to fit the entire recipe, I used an electric beater. I made sure to beat the cream cheese mixture until very fluffy. It was so fluffy that I thought it would colapse after removing from the oven. To my surprise, it didn&apos;t. And, to give it a delicate flavor, I used crushed lady fingers in place of graham crakers. The final result was of a very light and creamy filling over a delicious crust. Perfect for making mini-sized cheesecakes (the kind that you can eat in 2 to 3 bites); a great addition to the finger-food menu of an elegant party."
5,"This may be the best cheesecake I&apos;ve ever made.  I brought this to our work holiday party and EVERYONE raved about it.  Not too sweet, great eggnog flavor.  I did a gingersnap crust instead of graham cracker and that complemented the nutmeg and eggnog beautifully and substituted vanilla extract for the rum.  It was very easy to make and the biggest hit I&apos;ve had at a potluck since I made chocolate bread pudding 4 years ago.  Definitely a keeper for holiday desserts."
5,"This is the most delicious cheesecake I&apos;ve ever had.  I&apos;ve made dozens of them, and people have started hiring me to bake them for their Christmas parties this year.  It always comes out perfectly, and is always a hit.  I use my KitchenAid mixer and let it mix for a good, long while until everything is smooth and creamy.  This recipe is to die for!"
5,"I made these cheesecake THREE times during December--that&apos;s how good it is. Here are my modifications: (1) use gingersnaps for the crust. Every time I made it someone raved about the crust. (2) Use 1 c. of eggnog not 3/4 c. Someone else recommended this and it works. Use more nutmeg than a pinch. (3) Use spiced rum if you have it. And finally when the recipe says ""remove from oven and immediately loosen sides "" do it. The first time I did not and it cracked heavily as it cooled. I spread whipped cream over the top and no one ever knew. But the next time I ran a knife around the sides and it didn&apos;t crack at all. Best if you can let it sit overnight. Easy and absolutely great for holiday desserts."
5,This cheesecake had a great consistancy - not too heavy yet satisfying in the way only cheesecake can be. I used the Pecan Caramel sauce from Eggnog Cheesecake I at this site - it has dark rum in it and was perfect. I also added some spices ( 1/4 tsp each of ginger nutmeg and cinnamon) to the crust. I don&apos;t have a food processor I just mixed the heck out of it with my stand mixer.
5,"SO good!  The perfect elegant, yet not too challenging holiday dessert.  I had plenty of eggnog leftover from making my yearly eggnog Christmas cookies and wanted to make a cheesecake for a family Christmas celebration, so it made perfect sense.
                                
                                I followed several different suggestions and made some minor adjustments to the original recipe.  I will admit, that although I&apos;ve made enough cheesecakes that I would say I&apos;m a fairly experienced cheesecake baker I have never prepared my batter in a food processor so I was a little nervous but since I already had the processor out to make my crust I thought I&apos;d give it a go, and it worked out great, plus I didn&apos;t dirty up my mixer!  
                                
                                The changes I made are as follows:
                                - for the crust I added 1/2 tsp cinnamon and 1/4 tsp nutmeg
                                - I upped the eggnog to 1 cup in the batter
                                - replaced the rum with 1 Tbsp vanilla extract
                                - added 1 tsp cinnamon and 1/2 tsp nutmeg  to batter
                                
                                Also, unlike many of the users I did not use a waterbath, nor have I ever.  The consistency was great and no cracks!"
4,"When I set out to find an unusual holiday cheesecake recipe, I stumbled upon this one, which seemed like one of the easiest. Not only was it relatively easy, it was one of the smoothest, richest cheesecakes I&apos;ve ever tasted. The eggnog flavor lends itself very well to this classic dessert. In addition to an eggnog cheesecake, I used the basic recipe but substituted pure almond flavor for the rum and then swirled it with freshly grated ginger before baking. Both were superlative. Thanks for the great recipe."
3,I was really excited to try and make this and read all the reviews/suggestions before I made it. Next time I will bake it a little longer and I won t use rum extract but vanilla extract and cinnamon.
5,This was a yummy recipe!! Some small changes though little more than 3/4 molasses not 1 cup 1 Tbsp cinnamon (says 1 tsp) and 1 tsp of all spice. Those spices really kicked up the flavor. Also make sure to use lots of flour to roll out the dough as it is sticky.
5,"I was apprehensive, with the variety of reviews, but this recipe turned out great.  I&apos;ve made gingerbread cookies in the past; either the dough was too tough to work with, or they did taste like cardboard after baking (the frosting redeemed them).  I did double the ginger, as suggested.  The dough was soft, easy to work with, and did not get hard and tough as we continued to work with it. The dough we were working with mixed very well with the dough we added from the refrigerator. The cookies were  soft when done baking.  The kids and I both liked the flavor.  I will use this recipe again."
5,I doubled the cinnamon left the ginger the same (a whole tablespoon is plenty) and cut the molasses to 34 cup. They came out tasting great:) I also dumped the cloves because I don&apos;t like that flavor. The dough wasn&apos;t the easiest to work with but I didn&apos;t wait the full three hours to roll it out so I can&apos;t complain. The cookies held their shape in the oven and stayed soft in the middle. Another minute or two would have added some crispiness and I&apos;ll probably try that next time. Great cookies thanks for the recipe:)
1,Recipe was easy to follow dough looked great but compared to the genuine swedish recipe this was not good. I can not believe anyone ever got a compliment on these cookies. Usually the dough is great to taste too but this i could not even take a tiny bite. I decided to make them anyway thinking maybe when they are cooked they would taste better. I ended up throwing them all away! Tomorrow I am calling my mother for her recipe!
5,Excellent soft gingerbread cookies. I have received many compliments!! I must have been using potent powdered ginger: unlike other reviewers I found my cookies to have a hot ginger taste. As suggested by others I doubled the cinnamon & added 1/2 tsp allspice. Next time I would leave the cinnamon at 1 tsp to keep the ginger dominant. I used 1/2 cup shortening (all I had on hand) and 1/2 cup margarine. I did not notice a &apos;molasses taste&apos;. I recommend rolling the dough out between 2 pieces of plastic wrap rather than using a floured surface to reduce the risk of dry cookies. Bake only until the cookies don&apos;t look wet. They will be sturdy but still soft when cool.
1,"I hate giving a bad review to a favorite recipe of another but these tasted awful and I was extremely dissapointed. The shortening taste is more pronounced than it should be and the taste of molasses and cloves is overwhelming. For the cost of the spices and the time it takes to work the dough together this recipe was a huge let down (my son and I had planned on decorating gingerbread men and had all the fixings to do so - we decided to make another dessert after tasting the cookie) I would choose a recipe with a ""sweeter"" base. These are spicy but not in a way that will be pleasing to children and I have to agree with another reviewes when they said these tasted like dog biscuits. Sorry!!"
5,"Delectable.  Use only 3/4 cup molasses, it&apos;s enough.  You want these sweet and spicy, not too molasses-rich."
5,Reading some of the other reviews I almost decided not to try these. But I&apos;m sooooo glad that I did. I didn&apos;t change anything and they were great. I baked them only until they were slightly firm to the touch. Perfect. Thanks Kim.
5,Fantastic! My kids as well as the adults in the family loved this cookie. If they come out too dry try cooking them for a minute or so less. The dough was easy to make at the end it got a little difficult for mixing but once the dry ingredients were all absorbed it was a dream! Give it a taste test before you divide it up for the fridge. This was a really nice cookie I will make it every year! Thanks Kim!
5,"This recipe is the perfect base for any hot artichoke dip. Make it just the way it is 1-1-1 or mix it up with some chopped jalepenos, spinach, green peppers or roasted garlic. Depending on the crowd I serve it to, I adjust it accordingly. The only downfall, there&apos;s never enough. When making for a crowd make a quadruple batch at least. It even works in the crock pot."
3,"Very tasty. Would add a 1/2-tablespoon of lemon juice, 1/2 tsp. garlic powder, and maybe some Worsteshire sauce. Make sure to rinse the artichoke hearts, otherwise fishy taste occurs. Also, bake a few more minutes for extra golden top."
5,I&apos;ve been making this dip for years also. It&apos;s one of my favorites. I add a sprinkle of garlic salt and definitely use Hellman&apos;s. Once time for a change I decided to spread the dip on a Boboli&apos; crust and bake it. I cut it up into small slices. Yummy!
5,My mom used to make this and I forgot how good it was until I came across the recipe here and made it over the holidays. No one I&apos;ve served it to believes it&apos;s only 3 ingredients. I find that it&apos;s easiest to chop the artichokes in the food processor. I also like to mix all the ingredients and let it chill over night so the flavors can blend. It also comes out best if you use freshly grated or &apos;premium&apos; (found in your grocer&apos;s deli case or cheese case) parmesan rather than the stuff in a can. I also recommend using Hellmann&apos;s mayo for the best results. Thanks for reminding me what a simple but great recipe this is.
5,"Fabulous dip and totally idiot proof! SO simple and so good....this is one of my ""go to"" recipes when we have company. It turns out best when you use Hellman&apos;s mayo....don&apos;t use the light mayo it doesn&apos;t work as well! I also throw in a couple of minced garlic cloves."
5,I frequently make this artichoke dip recipe with the addition of fresh chopped garlic. Fantastic baked as a dip but also quite delicious when spooned into mini phyllo cups and baked until bubbly rave reviews.
4,GREAT AND EASY RECIPE!! JUST DONT FORGET TO ADD LEMON JUICE....IVE BEEN MAKING THIS FOR YEARS NOW BUT ALWAYS ADD THE LEMON JUICE IT KICKS IT UP A NOTCH. BIG HIT AT ALL MY PARTIES!!!!! have fun!
5,Great with a small can of green chiles added.
5,Thank you. I finally found my favorite dip from years past. This is the best dip goes well with a toasted bagel or vegies or any dip friendly foods. Yes it&apos;s true you can&apos;t use generic mayo. I think Helmans or Kraft brand mayo works best.
5,"If light corn syrup is not available, you can substitute a sugar syrup made with 1-1/4 cups sugar and 1/3 cup water, boiled together until syrupy."
5,"Absolutely fabulous sugar cookie icing!  This icing recipe is the ""Holy Grail"" of icing.  I have been searching for an icing recipe that allows me to bake cookies that look like they were purchased from a designer cookie shop. Thanks to this recipe, my search is over! I&apos;ve made this icing several times and it has never let me down!  The icing sets up shiny and beautiful and the colors are so bright and glossy.  I use the paste food colorings--that you can purchase at any craft store.  The icing appears ""wet"", but it sets up nicely and you are able to stack the cookies.  However, the icing isn&apos;t too hard.  It&apos;s perfect.  I&apos;ve used this icing to make decorated butterfly cookies that most people thought I purchased at a bakery.  I also made heart cookies for Valentine&apos;s day.  I packaged them in individual cellophane bags and tied with a ribbon--a cute, inexpensive treat for friends and my children&apos;s friends.  This icing&apos;s consistency is wonderful, too.  I spoon it on cookies and work it around the shape.  I use a paintbrush to add details, and the end of the paintbrush to add dots.  And yes, I do add additional milk--a 1/2 tsp at a time.  It&apos;s not a problem though.  I add small amounts of milk until I get the right constistency.  I can&apos;t say enough about this icing and how it has helped me to make gorgeous, professional-looking cookies for all occassions!"
5,"This worked great for me! I put the 1 cup of confectioner&apos;s sugar in the bowl, added 4 tsp of milk all at once and stirred it until evenly mixed. Then I added 1 tsp of vanilla extract (I know it only calls for 1/4 tsp, but you can never use too much vanilla extract) and stirred again until all mixed. Then I added a tablespoon of corn syrup and stirred until evenly mixed. At that point it was the perfect consistency for spreading and drizzling, and perfectly smooth. I tried using gel color to color it and that worked really well, but with another batch I just used regular food coloring and that worked just fine too.
                                
                                It dried very quickly, within 20 minutes I was able to add a second drizzle coat (of another color) without it sinking into the first coat. It took about 90 minutes to dry hard. I had no problem, using a single batch of this icing recipe,  covering a 40-cookie batch of sugar cookies (average size 2"" by 1.5"") with a solid coat and a drizzle coat, and there was still some icing left over. 
                                
                                Will be using this one again and again! :)"
5,"This icing is the best! I used lemon flavoring and it tasted great. The trick that worked for me in making this icing was add the 2 tsp. of milk to a bowl and then slowly stir in the powdered sugar a little at a time. It will come out smooth like the recipe says. You just have to be patient. Then add your corn syrup, flavoring and color."
5,"You have to  play around with the milk and corn syrup pretty much, but it&apos;s best to start with what the recipe calls for and add to desired consistency.  This recipe was great.  The glaze does take time to dry - overnight is best.  But the colors don&apos;t fade and the icing dries shiny, but not too hard.  I made this icing using both almond and lemon extract with superb results for both.  The icing adds that big of extra flavor to boring old sugar cookie recipes but the flavor isn&apos;t overbearing.  Cookies come out stackable and easy to transport after drying.  
                                
                                This was my first time ever making decorated cookies and the person who received my cookie gifts asked me if I&apos;d purchased them at a bakery!  So I was very pleased with this recipe and will probably use it forever!"
5,"** 5 STARS! ** FABULOUS! I used this icing on my gingerbread men instead of Royal Icing because it requires egg whites.  I added vanilla extract instead of almond extract. Placed it in sandwich bags, snip the corner, & piped it on the gingerbread men.  NICE!!"
5,It&apos;s easy and makes for a nice professional shiny and smooth finish. It&apos;s a very sweet icing but aren&apos;t they all?  I did have to add a bit more milk and corn syrup to make it into a spreadable consistancy.  Make sure you don&apos;t add too much of either ... otherwise it gets too runny. I used the almond extract as suggested but have also substituted it with clear vanilla and lemon extract. I think any extract will work. It takes a few of hours to harden and is stackable after that. I used a thin layer of this icing with the Best Rolled Sugar Cookies Recipe.  This made a thick professional looking cookie.
4,Great basic recipe for beautiful colorful glossy frosting. I have to work at it each time to get the right consistency. Tip: add a little more milk to make it thinner and easier to brush onto the cookies (if you are getting artistic like I do). Adding more syrup will not allow it to dry and it will stay gooey until you eat them! I use frosting food colors from the cake decorating section of my craft store they work great.
5,I adjusted the recipe with the amount of milk and corn syrup to get it to the consistency I liked (about 3 tsp of milk and 3 tsp of corn syrup).  The icing tasted and looked good and was pretty easy to work with.  I used this on the Soft Christmas Cookies by Georgie Bowers.  I will use this again.
2,I did not care for this because of the flavor. Sure did look nice on the cookies though.
5,"I&apos;ve made these many times and everyone loves them. They are not time consuming at all and can be made up two days before needed. Wash mushrooms and twist out stems. Drain in colander. Put mushroom caps on paper towels to drain well. Slice off woody part of stem and put in food processor. Pulse stems until minced. Add 1 Tlbs olive oil to pan and stir-fry minced stems and garlic (minced type from jar)until dry. Add spices. Slightly cool, but while still warm add  cheeses (and a can of drained crab if want). Put a plastic zip lock bag into a bowl and roll back sides- add cream cheese mixture. Snip off one corner and use as a pastry bag to fill mushrooms. If making ahead 1)use only freshest mushrooms you can find, 2)blot off excess water from mushrooms, 3)put them into a non-metalic dish. I sprinkle the tops with shreded (not grated )parmesan cheese. Cover well with plastic wrap and refrig. until ready to bake. (I&apos;ve made up to two days in advance- without crabmeat though)."
5,"This is a favorite recipe that I have made several times and I never have any leftovers.  Even my young son loves the flavorfull filling. These are great to bring to get togethers.  I usually prepare the stuffing and put into a ziplock and assemble them when I arrive.  Just snip off the corner of the ziplock, fill the mushrooms like a pastry and pop in the oven. Adjustments I make are I add crabmeat to the mixture which I find adds a little more substance to an otherwise very creamy filling.  I like to sprinkle with parmesan cheese before putting them in the oven which adds a nice touch.  A trick I use is to use smaller mushrooms so there is a good balance between mushroom and the amount of filling.  I tried larger ones one time and it almost seemed like each bite was just a bit too full of creamy mixture.  I also lightly butter the mushrooms before baking which keeps them from drying out.  Last trick is I bake them in mini muffin tin pans.  They hold the smaller mushrooms perfectly and the pans keep the mushrooms from tipping over and rolling around.  The cayenne pepper gives just the perfect amount of kick to this recipe."
5,"Great! A little time consuming, but worth it. I, too, added some chopped green onion while sauteeing and lightly brushed outside of mushrooms with melted butter laced with Ital. crumbs. Made almost 3 doz. reg. mushrooms! TIP: slice off bottem a little so they don&apos;t roll over."
5,"Wow, these are ever so good exactly as written!!!  For my family&apos;s personal preference, I added the following....  16 oz of ground sausage, increased the Parmesan to 1/2 cup and the garlic to 1.5 tbsp, and then rolled the top of the stuffed mushrooms in the Parmesan cheese and Italian seasoned Panko bread crumbs prior to baking.  Created a great little crunch with wonderful oozy goodness underneath.  Absolutely divine!!!"
3,"I made for Christmas dinner appetizer and they were YUMMY! But i also read a lot of the reviews and took some of the advice (and left some). I rated accordingly since i changed it a bit. I used 12 large mushrooms (caps about 2"" wide) as the recipe called for as well as the the whole pkg of cream cheese and it was just right. Next time, though, I will use bite size smaller mushrooms but double the amount of mushrooms to make it easier to eat as a appetizer. Used olive oil instead of vegetable oil and  added to the original ingredients for the filling: 2 stalks green onions (minced and cooked with the garlic and mushroom stems), a bit more parmesan (used fresh grated parmesano reggiano), a bit of garlic powder, 1 crisp, crumbled bacon and about a cup of cooked dungeoness crab. I dunked the mushroom caps in melted butter & lemon before filling, sprinkled with more parmesan and baked in a mini muffin pan. (Beware: if the mushrooms don&apos;t fit all the way into the muffin pan, they will come out shaped like muffins! It is kind of cute though.) Cooked for 20 mins and they came out beautifully! Everyone loved them! The parmesan topping gave it that extra crunch too! And love the heat the Cayenne leaves after you eat it. Will make (my new revised recipe again!) Thanks!"
5,This was my first time making stuffed mushrooms and after reading several of the reviews I decided on how I would make mine. The full amount of cream cheese was enough for 24 mushrooms and I placed a bit of chopped proscuitto in the bottom of each mushroom before placing the cheese mixture on top (which was wonderful). I then sprinkled garlic and herb bread crumbs over them and drizzled melted butter over all. Baked for only 15 minutes and broiled for the last 5. They were wonderful. I plan on making these when my Mom and Grandmom come to visit in the fall. Thanks a bunch!
5,"Excellent recipe.  I doubled the filling and used 24 oz fresh mushrooms and it filled them almost perfectly.  I also added  a dash of Worcestershire sauce while cooking the stems and 1/3 cup of crumbled bacon to the cream cheese mixture.  Just before baking, I sprinkled with breadcrumbs and dipped the mushroom caps in melted butter so that they wouldn&apos;t dry out.  I brought to Thanksgiving as an appetizer and they went in minutes.  Everyone loved the bite that the cayenne pepper added.  Thanks for the great recipe!"
5,"I have made these many times, and they always disappear so fast!  What a great recipe.  I put the stuffing into a ziploc bag with a corner cut off and squeeze it into the caps, it&apos;s less messy.  Thanks for sharing such a great treat!"
5,"Very good recipe! My husband gave it 2 thumbs up, which is HUGE. I followed some other reviewers&apos; suggestions and added 1/4 cup or seasoned breadcrumbs, and cut the cream cheese to about 2/3 what the recipe called for. I also used 2 10oz pkgs of white mushrooms, or about double what the recipe specified. I&apos;m sure adding crabmeat would&apos;ve made it even better, but i don&apos;t think it needs it... i kept the recipe cheap, quick, and easy!"
5,The best instructions ever. I used fresh parmesan reggiano and parsley. Delicious!!!
5,"This looks great, can&apos;t wait to try it.
                                
                                But, 14? Really? 14? Not 12?"
5,"After making the dough instead of using a cookie press or dropping by balls, I rolled the dough into four logs, wrapped the logs in waxed paper, placed in the fridge to harden, and then sliced in about 1/2"" slices. Perfect and delicious. Sometimes I make the dough up to 3 days ahead of time then slice and bake when I need them. After baked I sprinkle with powder sugar. Makes a beauiful presentation."
5,"Excellent shortbread ccokies!! But be prepared when making these, the recipe says it makes 2 dozen and that&apos;s WAY off unless you&apos;re using some super **huge** cookie press! I get at least 6 dozen cookies out of one batch every time I make them!"
5,"these cookies were fantastic!! i rolled out the dough and used cutters.. turned out fantastic.. also have sprinkled with sugar, and others i drizzled with chocolate.. great recipe, you gotta try it.."
5,"This recipe was very easy and came out very good.  But I think the proportions are wrong, I halved the recipe and still made at least 2 dozen.  I also didn&apos;t have a cookie press, so I just rolled the dough into little balls, then flattened them on the cookie sheet.  Next time I plan on dipping them in melted chocolate... mmmm.."
5,Wonderful shortbread cookie! These were so easy to make and yet turned out fabulous. It&apos;s great when such simple ingredients come together to create something so delicious! I followed the recipe exactly and let the dough chill in the fridge for a half hour before rolling it out and using cookie cutters vs. a cookie press. I baked the cookies on parchment paper and they were perfectly done in ten minutes. These have a wonderful butter flavor and are great for decorating. When I was all done I placed them in clear cellophane bags tied with ribbon - too cute!
5,"I made a second batch using ""orange"" extract instead of the vanilla.  They were fabulous!"
3,I followed the recipe exactly the only thing I don&apos;t have is a cookie press. I&apos;m a very experienced baker and never had cookie dough go this wrong on me! I chilled the dough for 30 minutes before trying to roll it out but it was still very gooey and sticky. It also tore far too easily and my floured rolling pin couldn&apos;t even go one stretch before tearing it apart and getting the dough stuck to the *floured* surface.   I&apos;m sure this is a great recipe if you have a cookie press. The doug tastes delicious. I ended up pressing it out with my hands and using cutters. This obviously gives sort of ugly uneven cookies but with the amount of butter I used i didn&apos;t want it to go to waste. We&apos;ll see how they bake!  Just a warning to other cookie press-less bakers. I was hugely disappointed. It&apos;s also kind of screwed up my Christmas party as I now only have 3 hours to finish off and offer ugly cookies! Haha.
4,"This is the first time I&apos;ve actually bothered to log in and write a review. Oh man, these cookies are good. Yes, you should add a little confectioner&apos;s sugar to improve the taste and add to the ""melt in your mouth"" factor, as well as some brown sugar for moisture (I added 1/8 of each, 1/4 total). I also cut down on the flour. Thanks to the other reviewers, those few tweaks resulted in a blissful butter-sugar shortbread like cookie that can stand on its own. Normally my favorite cookies have chocolate involved, but honestly, these are so delicious I don&apos;t even miss it. (Hint - because this recipe is so simple, the quality of ingredients has to be good or it will ruin the flavor. I&apos;d bet the majority of people who had issues with this recipe didn&apos;t use unsalted real butter, sifted flour, or real vanilla extract). Seriously, if you&apos;re having a cookie craving, give these a try. YUM!!"
4,"They really do melt in your mouth.  I was surprised that so few ingredients made such a tasty little cookie. This was my first try with a cookie press and this recipe worked wonderfully, even though the directions that came with the press said to use only their recipe."
4,"I made a few change to this recipe as well. I have made Mexican Wedding Cookies for more than half my life. It was taught to me by my Auntie Nacia when I was in high school. I use powdered sugar instead of granulated sugar. I have used one teaspoon vanilla extract, real not imitation, and one teaspoon almond extract. You can also flavor these cookies with rum, frangelico, kahlua, or any of your favorite spipping spirits. Sift your sugar and your flour to make your cookie dough light in texture, before and after baking."
5,"I love this cookie recipe.  It is quick and simple, and great for any occasion.  I used 3/4 c. chopped pecans (the small package of chopped pecans found in the cake mix aisle at the grocery store) instead of almonds.  I only chilled my cookie dough 1 1/2 hrs.  They were delicious!  They had great flavor and did not crumble or fall apart when baked.  This is an overall great cookie recipe."
5,"This was my first shot at making wedding cookies.  Although I used pecans instead of almond, these were/are excellent!!  I even received raved review from the girls I work with.  Thank you for such a yummy recipe.  I have to say that I have had wedding cookies in the past that were awful.  This is the perfect recipe!  Merry Christmas!  I made these again this year and they were still excellent.  I used pecans and walnut together and I only baked them for 8-10 minutes maybe because my cookies were smaller.  These are addicting!!"
5,These cookies were simple to make and would be simple enough for a child to make (w/ adult supervision). Commonly known as Russian Tea Cakes they are also referred to as Mexican Wedding cookies. I made the batch twice -once following the recipe the second making some subtle changes. Here are the changes I made. I swapped the regular sugar out and replaced w/ 10x confectioner sugar -this produced a smoother texture. I left out the water and added 1/4 tsp of salt. I reduced the amount of nuts to 3/4 cup and replaced the almonds with pecans. I also added 1 TBSP of vanilla caramel powdered dairy creamer to the powdered sugar when I rolled the cookies in it...and WOW is all I can say! The first batch was good (a 3.5 star rating) but I enjoyed the second batch better thus the five star rating
3,I couldn&apos;t get the powdered sugar to stick to the cookies after they had cooled...might try rolling them while still slightly warm.
4,These are great cookies; however I made a few changes. I used confectioners&apos; sugar instead of granulated white sugar sifted the flour and used pecans instead of almonds. They are like pecan sandies in confectioners&apos; sugar. I made them for my christmas cookie tins. I made them ball shaped and called them snowballs when anyone asked what they were.
5,I made this recipe for a Spanish project for the whole class. It turned out bsolutely amazing and everyone loved them. They&apos;re best if you put a ton of powdered sugar on them. They are also very easy to make. I have never baked in my life and they turned out great! It&apos;s a great recipe for a beginner.
4,"This was a great recipe! I did use chopped walnuts in place of the suggested nuts because I prefer a softer nut with these cookies I also used powder sugar in place of granulated because it does give it more of a ""melt in your mouth"" texture. Other than that it is a keeper in my holiday baking!"
4,my first recipe from allrecipes.com and it was great! i only gave it 4 stars because i made the following changes:chopped pecans instead of almonds 1/2 cup confectioners sugar instead of granulated and i didn&apos;t chill the dough for 3 hours. everyone raved about how tastey these cookies were!
